,Total Population,Pop. that Works from Home,Single Occupant Households,Single Parent Households,Married Parent Households,Undergrads and Grads,Diploma/GED attained,Degree attained,Households in Poverty,Below 40k Earners,40k-100k Earners,Above 100k Earners,Unemployed,Renter Occupied Households,Owner Occupied Households,Crime Counts,walk_score,transit_score,Fast Food Count,Fast Food Consumers,raw_visit_count
421010349002,2066,56,203,41,161,120,516,135,769,261,379,129,160,356,413,95,63,52,1.0,703.0,27112.0
421010349003,1038,0,204,36,132,17,478,60,413,262,132,19,0,296,117,45,63,52,0.0,0.0,19610.0
421010349004,1483,10,188,40,57,115,570,58,500,204,271,25,35,199,301,69,55,53,0.0,0.0,42872.0
421010351001,1881,0,391,32,58,58,531,539,933,330,348,255,62,195,738,61,41,45,0.0,0.0,36097.0
421010351002,2104,0,813,53,0,125,828,537,1308,522,693,93,144,673,635,40,38,38,0.0,0.0,12148.0
421010352001,2147,40,293,51,132,248,602,361,815,241,320,254,50,214,601,46,33,53,0.0,0.0,61666.0
421010352002,735,21,62,0,74,16,306,60,265,76,124,65,20,58,207,9,30,52,0.0,0.0,123618.0
421010352003,1104,62,217,12,60,91,409,179,520,160,219,141,41,142,378,64,55,56,0.0,0.0,21159.0
421010353011,2662,50,257,103,182,285,868,359,951,199,561,191,70,249,702,103,58,54,0.0,0.0,39389.0
421010353012,2031,10,117,89,188,67,603,279,713,203,321,189,29,45,668,47,21,50,0.0,0.0,16366.0
421010353013,613,0,154,26,8,82,158,116,320,101,146,73,34,189,131,28,61,50,0.0,0.0,26327.0
421010353021,1932,27,379,61,110,64,686,327,896,329,411,156,117,414,482,121,66,47,2.0,729.0,33263.0
421010353022,2464,24,417,100,111,142,705,332,1043,399,440,204,175,416,627,133,11,46,0.0,0.0,37946.0
421010355001,2658,35,390,116,144,73,801,558,1075,340,543,192,205,126,949,86,48,53,1.0,512.0,37777.0
421010355002,1933,17,328,44,152,36,533,364,758,338,189,231,15,318,440,63,70,53,0.0,0.0,72331.0
421010355003,2375,0,415,38,198,180,445,418,1002,508,391,103,86,524,478,152,71,50,2.0,444.0,109314.0
421010356011,1860,16,316,20,113,130,389,501,774,320,182,272,30,232,542,25,38,47,0.0,0.0,67062.0
421010356012,1714,0,227,80,115,55,357,350,673,225,241,207,83,236,437,39,49,43,0.0,0.0,28095.0
421010356013,750,0,30,48,69,69,120,155,245,63,96,86,17,15,230,11,21,42,0.0,0.0,15511.0
421010356014,994,0,323,16,14,32,391,318,615,298,297,20,43,366,249,51,66,48,2.0,1069.0,60006.0
421010356021,1387,0,101,33,106,82,321,386,474,181,100,193,22,24,450,14,34,39,0.0,0.0,33001.0
421010356022,1881,9,231,33,156,97,418,531,753,199,318,236,32,237,516,73,37,39,0.0,0.0,39367.0
421010357011,2227,0,325,117,155,63,751,472,987,605,285,97,90,658,329,71,60,43,0.0,0.0,64334.0
421010357012,2335,25,306,94,222,83,608,380,899,508,302,89,99,639,260,26,66,43,0.0,0.0,46485.0
421010357021,1740,0,124,99,163,119,495,282,577,347,208,22,61,419,158,33,33,43,0.0,0.0,35653.0
421010357022,2499,0,505,40,252,92,745,409,1103,598,423,82,88,789,314,42,44,46,0.0,0.0,22808.0
421010358001,4111,0,307,57,414,279,1059,450,1215,484,459,272,212,237,978,81,63,45,0.0,0.0,75957.0
421010358002,992,11,178,20,85,33,299,331,482,264,150,68,28,139,343,26,30,44,0.0,0.0,27175.0
421010358003,1646,30,128,1,110,49,272,497,551,123,157,271,82,0,551,27,29,45,0.0,0.0,17780.0
421010359001,2272,13,516,44,49,74,868,516,1145,526,370,249,96,498,647,127,53,43,0.0,0.0,91661.0
421010359002,2798,33,341,27,247,134,845,398,1048,252,547,249,151,269,779,130,31,44,0.0,0.0,100014.0
421010360001,3128,22,471,42,153,101,929,706,1077,442,375,260,94,403,674,216,37,47,0.0,0.0,125044.0
421010361001,729,4,95,56,40,21,129,99,265,91,140,34,94,228,37,49,21,49,0.0,0.0,73815.0
421010361002,698,0,150,20,38,36,273,84,314,104,141,69,23,7,307,30,34,46,0.0,0.0,55419.0
421010361003,2329,18,66,75,262,114,596,288,706,114,369,223,35,90,616,38,19,50,0.0,0.0,38581.0
421010362011,1817,35,239,108,44,149,513,203,741,299,332,110,163,505,236,50,37,46,0.0,0.0,13322.0
421010362012,716,2,31,6,41,69,226,134,257,86,106,65,18,15,242,28,34,47,0.0,0.0,17400.0
